game_date,home_team,away_team,winner,predicted_winner,confidence_0,confidence_1
2019-11-23,Dallas Stars,Chicago Blackhawks,1,1,0.41624765402666686,0.583752345973333
2019-11-23,Vegas Golden Knights,Edmonton Oilers,0,1,0.4482750424771406,0.5517249575228592
2019-11-23,San Jose Sharks,New York Islanders,1,1,0.49268223973412456,0.5073177602658755
2019-11-24,Florida Panthers,Buffalo Sabres,0,1,0.4245473270992859,0.5754526729007141
2019-11-24,Detroit Red Wings,Carolina Hurricanes,0,0,0.587178010954118,0.41282198904588135
2019-11-24,Arizona Coyotes,Edmonton Oilers,0,1,0.483088846769745,0.516911153230255
2019-11-25,Tampa Bay Lightning,Buffalo Sabres,1,1,0.4357382149096519,0.5642617850903482
2019-11-25,New York Rangers,Minnesota Wild,1,0,0.5282587153246707,0.4717412846753293
2019-11-25,Philadelphia Flyers,Vancouver Canucks,1,1,0.4383933238455128,0.5616066761544872
2019-11-25,Pittsburgh Penguins,Calgary Flames,1,1,0.37106118439640423,0.6289388156035957
2019-11-25,Columbus Blue Jackets,Ottawa Senators,1,1,0.4408439247552031,0.5591560752447972
2019-11-25,Nashville Predators,St Louis Blues,1,1,0.4146684262958384,0.5853315737041613
2019-11-25,Dallas Stars,Vegas Golden Knights,1,1,0.46036319453940805,0.5396368054605921
2019-11-25,Anaheim Ducks,New York Islanders,1,0,0.5250129601702921,0.47498703982970786
2019-11-25,Los Angeles Kings,San Jose Sharks,0,1,0.43465302546074586,0.5653469745392542
2019-11-26,Montreal Canadiens,Boston Bruins,0,1,0.4793428365046305,0.5206571634953695
2019-11-26,New Jersey Devils,Minnesota Wild,0,1,0.47237278883328243,0.5276272111667173
2019-11-26,Chicago Blackhawks,Dallas Stars,1,0,0.5630930291834454,0.436906970816554
2019-11-27,Buffalo Sabres,Calgary Flames,0,1,0.4591360032487419,0.5408639967512582
2019-11-27,Ottawa Senators,Boston Bruins,0,0,0.5654217354265787,0.4345782645734212
2019-11-27,Detroit Red Wings,Toronto Maple Leafs,0,0,0.582412595249626,0.4175874047503737
2019-11-27,Tampa Bay Lightning,St Louis Blues,0,1,0.4288066095816952,0.5711933904183046
2019-11-27,New York Rangers,Carolina Hurricanes,1,0,0.5521435680551436,0.4478564319448562
